Call Number;Digitized by;Annotations 1: Named entities, dates, layout;Normalized date attributes (yyyy-mm-dd);Annotations 2: Sources of information;Annotations 3: Attribution;Place topic;Author;Short title;Full Provenance
1649_Tien_Goos;DBNL;No;No;No;;Tienen;Goossens, Eemont;Diverse notabele dingen (ca. 1649)door Eemont Goossens, rentmeester van de stad Tienen;Goossens, Eemont. Diverse Notabele Dingen (ca. 1649) Door Eemont Goossens, Rentmeester van de Stad Tienen. Edited by Paul Kempeneers. Tienen: Paul Kempeneers/eigen beheer, 1983. https://www.dbnl.org/tekst/goos057dive01_01/colofon.php.
1652_Rijp_Dirc;Volunteers;Yes;Yes;Part;;De Rijp;Dircksen, Meijnert;Dagboekjes van dagelijkse voorvallen en ambtelijke zaken, door Meijnert Dircksen, schepen en gaarder in De Rijp, 1636-1641, 1651-1652;Dircksen, Meijnert. “Dagboekjes van Dagelijkse Voorvallen En Ambtelijke Zaken, Door Meijnert Dircksen, Schepen En Gaarder in De Rijp, 1636-1641, 1651-1652.” De Rijp, 1652. 176  Losse Aanwinsten (verkregen tot 1984) van het Noord-Hollands Archief te Haarlem 14.1.3.10, Inventarisnummer: 1549. Noord Hollands Archief Haarlem. https://noord-hollandsarchief.nl/bronnen/archieven?mivast=236&mizig=210&miadt=236&micode=176&milang=nl&miview=inv2#inv3t2.
1657_Mech_Beth;Volunteers;Yes;Yes;Yes;;Mechelen;Anoniem;Chronyke van Bethanien;Anoniem. “Chronyke van Bethanien.” 3. Mechelen, 1657. EE Kronieken en Jaarboeken XXVI 1 (Safe II rek 2). Stadsarchie Mechelen.
1658_Rott_Anon;Volunteers;Yes;Yes;Yes;;Rotterdam;Anoniem;Kroniek van Rotterdam;Anoniem, en Jan Gerritsz Waerschut. ‘Kroniek van Rotterdam’. Rotterdam, 1658. 33.01 Handschriftenverzameling inv.nr. 1553. Stadsarchief Rotterdam. https://hdl.handle.net/21.12133/73FA53E1D5EB430A92F892F0D9DE7054.
1665_Mech_Vrin;Volunteers;No;No;No;;Mechelen;Vrindts, Dominicus;Historie van Mechelen;Vrindts, Dominicus. “Historie van Mechelen.” Mechelen, 1665. EE Kronieken en Jaarboeken VIII 1. Stadsarchief Mechelen.
1666_Gent_Bill_01;Volunteers;Yes;Yes;Part;;Gent;Billet, Justus;De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, deel 1;Billet, Justus. ‘De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, midtgaders van eenighe steden van Vlaendren, van Duytslandt ... tot den jaere 1564. In twee volumen, waer naer noch dry andere sullen volghen, eyndende met de jaere 1666, deel 1’. Gent, 1666. GSA1.1LF2. Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019444.
1666_Gent_Bill_02;Volunteers;Yes;Yes;No;;Gent;Billet, Justus;De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, deel 2;Billet, Justus. ‘De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, midtgaders van eenighe steden van Vlaendren, van Duytslandt ... tot den jaere 1564. In twee volumen, waer naer noch dry andere sullen volghen, eyndende met de jaere 1666, deel 2’. Gent, 1666. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019444.
1666_Gent_Bill_03;Volunteers;No;No;No;;Gent;Billet, Justus;De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, deel 3;Billet, Justus. ‘De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, midtgaders van eenighe steden van Vlaendren, van Duytslandt ... tot den jaere 1564. In twee volumen, waer naer noch dry andere sullen volghen, eyndende met de jaere 1666, deel 3’. Gent, 1666. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019444.
1666_Gent_Bill_05;Volunteers;Yes;Yes;Yes;;Gent;Billet, Justus;De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, deel 5;Billet, Justus. ‘De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, midtgaders van eenighe steden van Vlaendren, van Duytslandt ... tot den jaere 1564. In twee volumen, waer naer noch dry andere sullen volghen, eyndende met de jaere 1666, deel 5’. Gent, 1666. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019444.
1666_Gent_Bill_06;Volunteers;Yes;No;No;;Gent;Billet, Justus;De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, deel 6;Billet, Justus. ‘De cleene ofte corte chronycke van Dhr. Justo Billet, begrypende in forme van eenen register ... van saecken principalick gheschiet binnen de Stadt van Ghendt, midtgaders van eenighe steden van Vlaendren, van Duytslandt ... tot den jaere 1564. In twee volumen, waer naer noch dry andere sullen volghen, eyndende met de jaere 1666, deel 6’. Gent, 1666. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019444.
1668_Dord_Gode;DBNL;No;No;No;;Dordrecht;Godewijck, Pieter Govertsz. van;Dese heerlicke stadt: een zeventiende eeuwse kroniek van Dordrecht;Godewijck, Pieter van. Dese heerlicke stadt: een zeventiende eeuwse kroniek van Dordrecht. Onder redactie van W.M. van der Schouw. Dordtse bronnen 1. Dordrecht: StadsarchiefDordrecht : Vereniging Oud-Dordrecht, 2006. https://proxy.archieven.nl/46/5DF8D3F998674BD8A627B8AEC775B242.
1668_Gent_Bill_01;Volunteers;Yes;Yes;No;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 1;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 1’. Gent, 1668. GSA1.1GD1. Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_02;Volunteers;Yes;Yes;Yes;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 2;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 2’. 3. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_03;Volunteers;Yes;Yes;No;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 3;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 3’. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_04;Volunteers;Yes;Yes;Part;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 4;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 4’. 3. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_05;Volunteers;Yes;Yes;Part;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 5;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 5’. 3. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_06;Volunteers;Yes;No;No;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 6;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 6’. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_07;Volunteers;Yes;Yes;Yes;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 7;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 7’. 3. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_08;Volunteers;Yes;Yes;Yes;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 8;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 8’. 3. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_09;Volunteers;No;No;No;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 9;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 9’. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_10;Volunteers;Yes;Yes;Yes;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 10;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 10’. 3. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_11;Volunteers;Yes;Yes;Yes;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 11;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 11’. 3. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1668_Gent_Bill_12;Volunteers;Yes;Yes;Yes;;Gent;Billet, Justus;Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 12;Billet, Justus. ‘Den polytye boeck, ... beginnende den  22sten augusto in tjaer ons heeren 1658 (1658-1668) deel 12’. 3. Gent, 1668. Bibliotheek 1LF2 en lGDl, 529 (C. Handschriften). Stadsarchief Gent. http://www.cageweb.be/catalog/cgw01:000019446.
1671_Mede_Oppe;DBNL;Yes;Yes;No;;Medemblik;Opperdoes, Cornelis Jansz.;Een kroniek van Medemblik;
1671_Rott_Lois;Volunteers;Yes;Yes;Part;;Rotterdam;Lois, Jacob;Cronycke ofte een corte waare oude beschrivinge der stadt Rotterdam, beschreven door Jacob Lois, schepen derselve stad beginnende van den jare 1270 tot den jare 1664 en voorts vervolgt anno 1671;"Lois, Jacob. ‘Beschrijving: “Cronycke ofte een corte waare oude beschrivinge der stadt Rotterdam, beschreven door Jacob Lois, schepen derselve stad beginnende van den jare 1270 tot den jare 1664 en voorts vervolgt anno 1671, vergaderd uit veel oude memorien, contracten, hantvesten, prevelegien ende geschreve notitien, ende by hem veel genooteert etc. ende int kordt byeengevoucht""’. Rotterdam, 1671. 33-01 Handschriftenverzameling inv.nr. 1562. Stadsarchief Rotterdam. https://hdl.handle.net/21.12133/D379A3D2B28A49D7BEF68A882F4F929A."
1672_Amst_Anon;DBNL;Yes;Yes;Yes;;Amsterdam;Anoniem;Een dagboek uit het 'rampjaar' 1672;Anoniem. ‘Een dagboek uit het “rampjaar” 1672’. Onder redactie van J.F. Gebhard. Bijdragen en mededeelingen van het Historisch Genootschap, (gevestigd te Utrecht) 8 (1885): 45-116.
1675_Gent_Cler;;;;;;Gent;Clercq, J. Adolphus  De;Chronijcke ofte Cort Verhael van de principaelste Gheschiedenissen die 't sedert Christus geboorte voorghevallen zijn, tot desen teghenwoordighen iaere toe. A Jove principium;Clercq, de, J. Adolphus. ‘Chronijcke ofte Cort Verhael van de principaelste GHeschiedenissen die ’t sedert Christus geboorte voorghevallen zijn, tot desen teghenwoordighen iaere toe. A Jove principium’. 3. Brugge, 1675. Arch. Gilliodts, oork. nr. 80 (hs. 227). Stadsarchief Brugge.
1675_Utre_Boot;DBNL;Yes;Yes;No;;Utrecht;Booth, Everard;Dagelijksche aanteekeningen gedurende het verblijf der Franschen te Utrecht in 1672 en 1673, gehouden door Mr. Everard Booth: uit de papieren van Booth medegedeeld;Booth, Everard. “Dagelijksche aanteekeningen gedurende het verblijf der Franschen te Utrecht in 1672 en 1673, gehouden door Mr. Everard Booth: uit de papieren van Booth medegedeeld.” Edited by J.A. Grothe. Berigten van het Historisch Genootschap gevestigd te Utrecht, Tweede serie, 6, no. tweede stuk (1857): 5–170.
1680_Mech_Vale;DBNL;Yes;Yes;Yes;;Mechelen;Valerius, Remmerus;Chronycke van Mechelen door Remmerus Valerius Pastoor in Muysen, Vermeerdert met een kort verhaal van het Leven en Schriften van den Aucteur [...];Valerius, Remmerus. Chronycke van Mechelen door Remmerus Valerius Pastoor in Muysen, Vermeerdert met een kort verhaal van het Leven en Schriften van den Aucteur als oock met eene achtervolgende Tafel &c makende eene korte generale Chronyke van den Jaere 350 tot den jaere 1680. Edited by J.F. van der Elst. Mechelen: Vander Elst, 1754. https://dbnl.nl/tekst/vale010chro01_01/.
1681_Brus_Anon;Volunteers;No;No;No;;Brussel;Anoniem,;Cort verhael van al het ghene in de princelijcke stadt van Brussel is gheschiedt sedert haer eerste beginsel tot desen tegenwoordighen tijt;Anoniem. “Cort Verhael van al Het Ghene in de Princelijcke Stadt van Brussel Is Gheschiedt Sedert Haer Eerste Beginsel Tot Desen Tegenwoordighen Tijt.” Brussel, 1681. ASB Archives historiques, Registre 2916. Stadsarchief Brussel.
1681_Zwol_Catt;Volunteers;Yes;Yes;Part;;Zwolle;Cattenbelt, L.F.;Eenige gedenckwaerdige geschiedenissen raeckende meest het Landt van Overijssel ende deszelfs Steden, 1678 - 1681.;Cattenbelt, L.F. ‘Eenige gedenckwaerdige geschiedenissen raeckende meest het Landt van Overijssel ende deszelfs Steden? Kroniek van Overijssel en in het bijzonder Zwolle, geschreven door L.F. Cattenbelt, 1678 - 1681.’ Zwolle, 1681 1678. Vereeniging tot Beoefening van Overijsselsch Regt en Geschiedenis (VORG), handschriftenverzameling, nummer toegang 0263, inventarisnummer 909. Historisch Centrum Overijssel. https://proxy.archieven.nl/20/CED06AD642D8499CB1E7F920CD6FFA82.
1683_Brus_Jaki;DBNL;No;No;No;;Brussel;Jakinet, Joannes;Historie der Nederlanden onder de Regering van Albertus en Isabella Philippus IV en Karel II 1612 tot 1683, met bygevoegde portretten;Jakinet, Joannes. ‘Historie der Nederlanden onder de Regering van Albertus en Isabella Philippus IV en Karel II 1612 tot 1683, met bygevoegde portretten’. Brussel, 1683. 15938-5184. KB Brussel.
1687_Rott_Anon;Volunteers;Yes;Yes;No;;Rotterdam;Diverse auteurs;Kronijk, inhoudende den opgang en voortgang van de scheepryke wijdvermaarde Koopstad Rotterdam, beschreven door Jan Gerritsz. van Waarschut, bakker overleden int jaar 1623. Met een vervolgh tot het jaar 1663;"Anoniem, P.T. Picolet, en Jan Gerritsz Waerschut. ‘Kronijk, inhoudende den opgang en voortgang van de scheepryke wijdvermaarde Koopstad Rotterdam, beschreven door Jan Gerritsz. van Waarschut, bakker overleden int jaar 1623. Met een vervolgh tot het jaar 1663"". Afschrift eerste kwart 18e eeuw’. Rotterdam, 1687. 33.01 Handschriftenverzameling inv.nr. 1555. Stadsarchief Rotterdam. https://hdl.handle.net/21.12133/2F6FAFB3D2BC4619839DB563856AAA2B."
1690_Rott_Anon;Volunteers;Yes;Yes;Yes;;Rotterdam;Anoniem;Beschryvinge der stad Rotterdam mitsgaders geschiedenissen zoo binnen de stad als elders voorgevallen, van den jare 1426 tot den jare 1690;"Anoniem. ‘Beschryvinge der stad Rotterdam mitsgaders geschiedenissen zoo binnen de stad als elders voorgevallen, van den jare 1426 tot den jare 1690"". Afschrift uit het einde der 17e eeuw’. Rotterdam, 1690. 33.01 Handschriftenverzameling inv.nr. 1577. Stadsarchief Rotterdam. https://hdl.handle.net/21.12133/41CD82507C0A4A8398F129C4A73A1847."
1695_Iepe_Anon;Volunteers;No;No;No;;Ieper;Anoniem;Kroniek van Ieper, 180-1695, met talrijke legendarische of anecdotische onderdelen;Anoniem. “Kroniek van Ieper, 180-1695, Met Talrijke Legendarische of Anecdotische Onderdelen.” Ieper, 1695. Boekentoren, BHSL.HS.0616/MICRO. UB Gent. https://lib.ugent.be/nl/catalog/rug01:000808666?i=40&q=kroniek&type=manuscript.
1697_Leeu_Vitr_01;Volunteers;No;No;No;;Leeuwarden;Vitringa, Horatius Wigeri;Annotatien van Eenige aanmerckensweerdige dingen soo in als buiten de Provintie van Frieslandt in de tijt van twintig Jaren voorgevallen 1657- 1676. Het eerste deel.;Vitringa, Horatius. ‘Annotatien van Eenige aanmerckensweerdige dingen soo in als buiten de Provintie van Frieslandt in de tijt van twintig Jaren voorgevallen beginnende met den Jare 1657 en eindigende met den Jare 1676 incluis. Het eerste deel.’ Leeuwarden, 1671. Tresoar.
1697_Leeu_Vitr_02;Volunteers;No;No;No;;Leeuwarden;Vitringa, Horatius Wigeri;Annotatien van Eenige aanmerckensweerdige dingen soo in als buiten de Provintie van Frieslandt in de tijt van twintig Jaren voorgevallen 1657- 1676. Het tweede deel.;Vitringa, Horatius. ‘Annotatien van Eenige aanmerckensweerdige dingen soo in als buiten de Provintie van Frieslandt in de tijt van twintig Jaren voorgevallen beginnende met den Jare 1657 en eindigende met den Jare 1676 incluis. Het tweede deel.’ Leeuwarden, 1676. Tresoar.
1697_Leeu_Vitr_03;Volunteers;Yes;Yes;Part;;Leeuwarden;Vitringa, Horatius Wigeri;Annotatien van Eenige aanmerckensweerdige dingen soo in als buiten de Provintie van Frieslandt in de tijt van twintig Jaren voorgevallen 1657- 1676. Het derde deel.;Vitringa, Horatius. ‘Annotatien van Eenige aanmerckensweerdige dingen soo in als buiten de Provintie van Frieslandt in de tijt van twintig Jaren voorgevallen beginnende met den Jare 1696 en eindigende met den Jare 1697 incluis. Het derde deel.’ Leeuwarden, 1697. Tresoar.
1699_Bosc_Anon;DBNL;Yes;Yes;Part;;Den Bosch;Anoniem;De kroniek van het St.-Geertruiklooster te 's-Hertogenbosch;Anoniem. De kroniek van het St.-Geertruiklooster te ’s-Hertogenbosch. Den Bosch, 1699. https://dbnl.nl/tekst/_kro010kron01_01/.
1700_Haar_Vinn;DBNL;No;No;No;;Haarlem;Vinne, Vincent Laurensz van der;Dagelijckse aentekeninge van Vincent Laurensz. van der Vinne;Vinne, Vincent Laurensz van der. Dagelijckse Aentekeninge van Vincent Laurensz. van Der Vinne. Edited by B. C. Sliggers. Fibula Ooggetuigen. Haarlem: Fibula-van Dishoeck, 1979.
1703_Venl_Put;DBNL;No;No;No;;Venlo;Put, Barbara  de;Liederen van Mechteldis van Lom en andere annuntiaten, voorafgegaan door de Trancedron-kroniek van Barbara de Put;"Put, Barbara de. Liederen van Mechteldis van Lom en andere annuntiaten, voorafgeg. door de Transcedron-kroniek van Barbara: voorafgegaan door de Trancedron-kroniek van Barbara de Put. Edited by Mechteldis van de Lom and Nicolaas Carel Heinrich Wijngaards. Zwolse drukken en herdrukken ; 25. Zwolle: Tjeenk Willink, 1957. http://www.dbnl.org/tekst/lom_003lied01_01/."
1713_Hout_Dres;Volunteers;Yes;Yes;Yes;;Houthem;Dresens, Joannes;Kroniek Joannes Dresens, schepen van Houthem 1673-1713;Dresens, Joannes. “Kroniek Joannes Dresens, Schepen van Houthem 1673-1713.” Houthem, 1713. Handschriftencollectie GAM, toegangsnummer 22.001A, inventarisnummer 362. RHCL. http://www.archieven.nl/mi/1540/?mivast=1540&mizig=210&miadt=38&miaet=1&micode=22.001A&minr=14224547&miview=inv2.
1713_Kort_Mael;Volunteers;No;No;No;;Kortrijk;Maele, Philippus  van de;Chronycke van Cortryck, 1682-1713;Maele, Philippus van de. “Chronycke van Cortryck, 1682-1713.” 3. Kortrijk, 1713. Fonds Goethals-Vercruysse, ms. 212. Rijksarchief te Kortrijk.
1716_Jisp_Gert;Volunteers;Yes;Yes;Yes;;Jisp;Pieter Florisz. Gertses;Aantekenboek betreffende Jisp, met beschrijving,1647-1716;Anoniem. ‘Aantekenboek betreffende Jisp, met beschrijving,1647-1716’. Jisp, 1716. 0954  Collectie persoonlijke documenten en handschriften, 1518-1968, inv. nr. 1. Waterlands Archief. https://proxy.archieven.nl/131/0C2C8F323DAD425C9B411DF803B971E3.
1718_Dron_Rouc;Volunteers;No;No;No;;Dronrijp;Roucoma, Hoyte Stoffelsz.;Dronrijps Memoriael;Roucoma, Hoyte. Dronrijps Memoriael. Onder redactie van K. Terpstra. Leeuwarden: Fryske Akademie, 1986. https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=864691955.
1719_Brus_Hage;Volunteers;No;No;No;;Brussel;Haghen, Guillielmus  van der;Aenteeckeningen van de Waere ende Naeckte Beschryvinge van de Troubels ende beroertens voorgevallen binnen de Princelijk stadt Brussel, 1717-1719;Anoniem. “Aenteeckeningen van de Waere Ende Naeckte Beschryvinge van de Troubels Ende Beroertens Voorgevallen Binnen de Princelijk Stadt Brussel, Beginnende Met Den Jaere 1717 Ende Eyndigende Met Den Jaere 1719, Waerin Gehandelt Wort van de Droeve Ende Lanckbeclachde Doodt van Franciscus Anneessens Borger Ende Deken Der Voors. Stadt.” Brussel, 1719. ASB Archives historiques, Registre 3350. Stadsarchief Brussel.
1719_Tong_Anon;Volunteers;Yes;Yes;Part;;Tongeren;Anoniem;Chronijk van Maestricht tot 1719;Anoniem. “Chronijk van Maestricht tot 1719.” 3. Tongeren, 1719. 18.A  Handschriftencollectie (voormalig) Rijksarchief Limburg, 13e-20e eeuw, inv. nr. 404. RHCL. http://www.archieven.nl/mi/1540/?mivast=1540&mizig=210&miadt=38&miaet=1&micode=18.A&minr=14496644&miview=inv2.
1720_Brus_Anon;Volunteers;Yes;Yes;No;;Brussel;Anoniem;Oudtheden ofte Chronychsche jaerboek der prinselijcke Stadt Brussel bijeen vergaedert uijt verscheijde schrijvers der stadt Brussel door eenen liefhebber van het vaderlandt;Anoniem. “Oudtheden Ofte Chronychsche Jaerboek Der Prinselijcke Stadt Brussel Bijeen Vergaedert Uijt Verscheijde Schrijvers Der Stadt Brussel Door Eenen Liefhebber van Het Vaderlandt.” Brussel, 1720. ASB Archives historiques, Registre 2959B. Stadsarchief Brussel.
1721_Antw_Anon;Volunteers;Yes;Yes;Yes;;Antwerpen;Anoniem;Antwerpsche Kronijk, 1685-1721;Anoniem. “Antwerpsche Kronijk, 1685-1721.” 1. Antwerpen, 1721. Pk. 119. Stadsarchief Antwerpen. https://felixarchief.antwerpen.be/archievenoverzicht/175709.
1722_Huiz_Lust;DBNL;Yes;Yes;Part;;Huizen;Lustigh, Lambert  Rijckxz.;Kroniek I van Lambert Rijckxz Lustigh;Lustigh, Lambert Rijckxz. Kroniek I van Lambert Rijckxz Lustigh. Huizen: Drukkerij Visser, 1973. https://dbnl.nl/tekst/lust016lamb01_01/.
1724_Oost_Daal;DBNL;No;No;No;;Oostzaan;Daalder, Jan Sijmons;"""Kroniek Daalder"" : aantekeningen betreffende huwelijk, overlijden en plaatselijke gebeurtenissen in Oostzaan over de jaren 1682-1724";Daalder, Jan Sijmons. “Kroniek Daalder” : Aantekeningen Betreffende Huwelijk, Overlijden En Plaatselijke Gebeurtenissen in Oostzaan over de Jaren 1682-1724. Edited by J. Dane-Ruijter. Oostzaan, 1994. http://noord-hollandsarchief.nl/bronnen/archieven?mivast=236&mizig=383&miadt=236&miaet=14&micode=3000&minr=4237707&miview=ldt.
1725_Antw_Anon;Volunteers;Yes;Yes;Yes;;Antwerpen;Anoniem;Kronijk van het jaar 1725;Anoniem. “Kronijk van Het Jaar 1725.” 1. Antwerpen, 1725. PK 124. Stadsarchief Antwerpen. https://felixarchief.antwerpen.be/detailpagina?invnr=PK_124&page=1&pageSize=10.
1735_Dokk_Hesm;Volunteers;Yes;Yes;No;;Dokkum;Anoniem en Hesman, Gerrit;Omstandig verhaal van hetgeen sedert den jare 10... tot den jare 1710 incluis tot Doccum is voorgevallen, uit vele schrijvers bijeenvergaderd;Hesman, Gerrit. “Omstandig verhaal van hetgeen sedert den jare 10... tot den jare 1710 incluis tot Doccum is voorgevallen, uit vele schrijvers bijeenvergaderd : later door een ander vervolgd tot 1735 : verkort afschrift / Gerrit Hesman met een naberigt door W. Eekhoff.” 1. Dokkum, afschrift van ca 1850. Tresoar Leeuwarden.
1744_Brus_Anon;Volunteers;Yes;Yes;No;;Brussel;Anoniem;De vermaerde ende wonderlycke Geschiedenissen der prinselycke Stadt van Brussel;Anoniem. “De Vermaerde Ende Wonderlycke Geschiedenissen Der Prinselycke Stadt van Brussel.” Brussel, 1744. ASB Archives historiques, Registre 3107. Stadsarchief Brussel.
1745_Kort_Anon;Volunteers;Yes;Yes;Part;;Kortrijk;Anoniem;Chronycke van Cortryck;Anoniem, en Philippus van de Maele. ‘Chronycke van Cortryck’. 1. Kortrijk, 1745. Fonds Goethals-Vercruysse, ms. 215. Rijksarchief te Kortrijk.
1747_Amst_Boer;Volunteers;Yes;Yes;Part;;Amsterdam;Boer, Jan  de;Chronologische Historie van het geen is Voorgevallen, by de komste van Willem Karel Hendrik Friso. Prince van Oranie &ct…;Boer, Jan de. ‘Chronologische Historie van het geen is Voorgevallen, by de komste van Willem Karel Hendrik Friso. Prince van Oranie &ct… Door den Schrijver dezes. Jan de Boer, 1747 en vervolg’. Amsterdam, 1747. KB: 71 A-8. KB Den Haag. [https://www.dbnl.org/tekst/_med009200201_01/_med009200201_01_0009.php](https://www.dbnl.org/tekst/_med009200201_01/_med009200201_01_0009.php).
1747_Phil_Over;Volunteers;No;No;No;;Philipinne;Overveldt, Nicolaas van;"""Historie van Philipinne met hetgeene daer merkwaerdig zoo in kerk als burgerstaet is voorgevallen""; 1504-1747.";"Overveldt, Nicolaas van. ‘“Historie van Philipinne met hetgeene daer merkwaerdig zoo in kerk als burgerstaet is voorgevallen”; 1504-1747.’ Philipinne, 1747. KB: Ms 71 H 40. KB Den Haag. https://webggc.oclc.org/cbs/DB=2.37/XMLPRS=Y/PPN?PPN=310825024."
